1,accounting+finance
2,admin / office
3,arch / engineering
4,art / media / design
5,biotech / science
6,business / mgmt
7,customer service
8,education
9,food / bev / hosp
10,general labor
11,government
12,human resources
13,internet engineers
14,legal / paralegal
15,manufacturing
16,marketing / pr / ad
17,medical / health
18,nonprofit sector
19,real estate
20,retail / wholesale
21,sales / biz dev
22,salon / spa / fitness
23,security
24,skilled trade / craft
25,software / qa / dba
26,systems / network
27,technical support
28,transport
29,tv / film / video
30,web / info design
31,writing / editing
32,[ETC]
33,[ part-time ]
